;docid;docnumber;docdate;parent;request;date;hour;name;federal_district;region_with_type;city;timezone;lat;lon;local_time
1947;443342;ОП-З-00886-002;2023-08-02 08:55:33.913762+03:00;442362;1027501147134;2023-08-02;8;"ГПОУ ""ЧТОТИБ""";Дальневосточный;Забайкальский край;Чита;UTC+9;52.0394745;113.503155;2023-08-02 14:55:33.913762+09:00
1948;446413;ОП-З-00597-003;2023-08-11 09:16:55.660877+03:00;433385;1027809197635;2023-08-11;9;СПБГУТ;Северо-Западный;г Санкт-Петербург;Санкт-Петербург;UTC+3;59.93502;30.317952;2023-08-11 09:16:55.660877+03:00
1949;444478;ОП-З-00963-001;2023-08-04 10:41:07.831057+03:00;444425;1022701287652;2023-08-04;10;"ФГБОУ ВО ""ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ"", ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ, ФГБОУ ВО ДВГУПС, ДВГУПС";Дальневосточный;Хабаровский край;Хабаровск;UTC+10;48.4935882;135.0632905;2023-08-04 17:41:07.831057+10:00
1950;446994;ОП-З-01047-001;2023-08-14 08:56:30.122660+03:00;446961;1027301584067;2023-08-14;8;"ОГАПОУ ""УАВИАК-МЦК""";Приволжский;Ульяновская обл;Ульяновск;UTC+4;54.368601;48.5940611;2023-08-14 09:56:30.122660+04:00
1951;506658;ОП-З-02666-001;2023-10-23 14:39:13.128875+03:00;506647;1020900511268;2023-10-23;14;КЧР ГБПОО КИПТИС;Северо-Кавказский;Карачаево-Черкесская Респ;Черкесск;UTC+3;44.2035892;42.0600925;2023-10-23 14:39:13.128875+03:00
1952;465461;ОП-З-01606-001;2023-09-07 09:20:34.301594+03:00;465293;1022301812500;2023-09-07;9;НАН ЧОУ ВО АКАДЕМИЯ ИМСИТ;Южный;Краснодарский край;Краснодар;UTC+3;45.063432;38.995714;2023-09-07 09:20:34.301594+03:00
1953;467456;О-З-01644-005;2023-09-08 09:13:01.798892+03:00;466644;1027810232680;2023-09-08;9;"ГУАП,ФГАОУ ВО ГУАП,ФГАОУ ВО ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АЭРОКОСМИЧЕСКОГО ПРИБОРОСТРОЕНИЯ"",САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АЭРОКОСМИЧЕСКОГО ПРИБОРОСТРОЕНИЯ";Северо-Западный;г Санкт-Петербург;Санкт-Петербург;UTC+3;59.9294588;30.2966347;2023-09-08 09:13:01.798892+03:00
1954;526744;ОП-З-03213-005;2023-12-01 16:43:27.385793+03:00;523604;1037828029007;2023-12-01;16;ФГБОУ ВО СПХФУ МИНЗДРАВА РОССИИ;Северо-Западный;г Санкт-Петербург;Санкт-Петербург;UTC+3;59.970943;30.31082;2023-12-01 16:43:27.385793+03:00
1955;495435;ОП-З-02400-001;2023-10-10 08:31:36.670055+03:00;495384;1036300667534;2023-10-10;8;"ГАПОУ ""СГК""";Приволжский;Самарская обл;Самара;UTC+4;53.1871171;50.0961042;2023-10-10 09:31:36.670055+04:00
1956;486756;ОП-З-02203-001;2023-09-29 10:38:12.354049+03:00;486469;1033301806537;2023-09-29;10;"ГАПОУ ВО ""ВЛГК ИМ. СОВЕТКИНА""";Центральный;Владимирская обл;Владимир;UTC+3;56.1263544;40.3868986;2023-09-29 10:38:12.354049+03:00
1957;475430;ОП-З-01911-001;2023-09-14 17:17:20.357518+03:00;475419;1021000541979;2023-09-14;17;"ГАПОУ РК ""ПЕТРОЗАВОДСКИЙ АВТОТРАНСПОРТНЫЙ ТЕХНИКУМ"", ГАПОУ РК ""ПАТТ""";Северо-Западный;Респ Карелия;Петрозаводск;UTC+3;61.8003555;34.3182861;2023-09-14 17:17:20.357518+03:00
1958;465476;З-01611;2023-09-07 09:21:01.691381+03:00;0;1023500891512;2023-09-07;9;"БПОУ ВО ""ГУБЕРНАТОРСКИЙ КОЛЛЕДЖ НАРОДНЫХ ПРОМЫСЛОВ""";Северо-Западный;Вологодская обл;Вологда;UTC+3;59.2000311;39.9202735;2023-09-07 09:21:01.691381+03:00
